platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Fruits,39340,504259,504259,Farmley Date Bites Dry Fruit (No Added Sugar),Farmley,400,349,200 g,True,5,5,Dates,Bites,https://cdn.grofers.com/da/cms-assets/cms/product/707fcedd-f16e-4bba-8fab-8579058b8aaf.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7d5cd5c0-5075-4ea2-9453-242f26f5461f.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/8a48903e-fe0c-4883-aa58-5edbb22aaae2.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ca7d764e-a23a-4545-b155-3b3b6b7032c3.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ef70a0c3-9b3c-4e45-add2-72df795c4659.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/1e8a6cf8-88df-4ac7-9c2d-556b2068c036.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/d809d8b2-72bb-44b1-815b-5fed35f7e083.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/71075139-8d1a-49c3-960b-6f41569c7806.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/0fff6d16-f4a6-4618-9b4f-889cfabf323a.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7c5aed2b-e53b-4b4a-8989-adbc71fcb287.jpg?ts=1739190571,1,4.759000
blinkit,Fruits,39340,184269,184269,Jamun,,60,48,(250-280) g,True,50,50,Fresh Fruits,Jamun,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/876b89b9-9c7d-4f7d-9fc3-974de0ac65af.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/d78a4af7-dcc6-4019-9d52-b60291b251e7.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/e732e5ab-b716-49be-8ed0-0bc8524ced31.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3716e7dc-5fd9-4bdf-bf2f-bbb6bc8eaefd.jpg,2,0
blinkit,Fruits,39340,424416,424416,Yellaki Banana (Yellaki Baale Hannu),,79,59,(500-550) g,True,50,50,Fresh Fruits,Banana,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/59e59840-74be-473f-94d4-56ccd8791b11.jpg?ts=1718267338;https://cdn.grofers.com/app/images/products/sliding_image/424416b.jpg?ts=1697346451,3,0
blinkit,Fruits,39340,294599,294599,Mini Orange (Kittale Hannu),,123,97,250 g,True,33,33,Exotics,Orange,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/26b5e48e-c7ac-4553-80a9-359a8f88a78a.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/88a9ff5a-9290-40c7-8766-3425f7de8b39.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ec3c64c9-62c6-4ece-bf03-227adc20be21.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cb66b3bd-172c-492f-a8d2-347ce7fe0ff4.jpg?ts=1711473134,4,0
blinkit,Fruits,39340,490817,490817,Farmley 8-In-1 Berries Mix,Farmley,349,270,200 g,True,1,1,Dry Fruit Assortment,Berries Mix,https://cdn.grofers.com/da/cms-assets/cms/product/b11c47b7-c5f7-47fe-b7d5-3fdafffaeb41.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/4c758c92-e648-482e-974d-d03dcfeaa282.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e71d6aea-ee01-4ea3-a76d-041a53af9aa7.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e45a1b08-ae23-4695-9b08-a8ad2bf26168.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e0b6dade-b820-49c0-bb9b-47a362ea5c98.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/8017ae4f-09ea-4595-83b5-bb0763c92ec6.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/fd76c2cf-54f5-4022-a574-8e2df8a44e82.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/99fe3835-b7cb-46a4-83fe-3c53fa1d2a3f.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/04af9b53-e66d-46ef-95a1-3e0458dde9cb.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/eca1988e-58c3-4a17-914f-30c7d6cc8d76.jpg?ts=1739449778,5,4.642000
blinkit,Fruits,39340,294780,294780,Dragon Fruit,,93,70,1 piece (300-400 g),True,11,11,Exotics,Dragon Fruit,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/daf1076e-f731-4650-831c-513bb8f08403.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/40661286-0b45-4b2a-9ab0-6023bdd3f955.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/89dcde92-b763-4d54-bf3e-43b6dcbb0a69.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/115b4c19-fa52-43a6-88d4-5f2a3429987f.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/c83008a3-9888-4839-b6fa-45c32736c502.jpg?ts=1711473134,6,0
blinkit,Fruits,39340,342340,342340,Baby Banana (Baale Hannu),,34,26,4 pieces,True,50,50,Fresh Fruits,Banana,https://cdn.grofers.com/da/cms-assets/cms/product/4e17db76-2404-49d6-8c0e-9e0b48552551.jpg?ts=1740114928;https://cdn.grofers.com/da/cms-assets/cms/product/73380a99-6eea-4d1e-9e6b-f5bd276ac56d.jpg?ts=1740114928;https://cdn.grofers.com/da/cms-assets/cms/product/af821f0b-20f6-449a-9130-574718a388d1.jpg,7,0
blinkit,Fruits,39340,321169,321169,Pomegranate (Dalimbe Hannu),,158,127,2 pieces (350-450 g),True,17,17,Fresh Fruits,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/965bb3a8-4e03-423b-93c8-8d42fb671433.jpg?ts=1748844011;https://cdn.grofers.com/da/cms-assets/cms/product/da471e0f-f115-47e8-a7d1-bb863cd74efa.jpg?ts=1748844011;https://cdn.grofers.com/da/cms-assets/cms/product/9523067c-87c4-4f02-9972-36d797b70354.jpg?ts=1748844012;https://cdn.grofers.com/da/cms-assets/cms/product/b46b7138-09f2-4c2c-bdda-9cf4d5687286.jpg?ts=1748844012,8,0
blinkit,Fruits,39340,565954,565954,Yu Berry Blast 100% Fruit Juice With Berry Pieces,Yu,270,160,3 x 250 ml,True,1,1,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/7128e10a-7cd4-42b4-81a6-9f5110846591.jpg?ts=1745814555;https://cdn.grofers.com/da/cms-assets/cms/product/017fe90f-76f3-4859-b8e1-bc4b390d6bde.jpg?ts=1745814555;https://cdn.grofers.com/da/cms-assets/cms/product/6edabda6-157f-4dcd-aa9e-65d2eab14007.jpg?ts=1745814555;https://cdn.grofers.com/da/cms-assets/cms/product/b8500ded-fa1b-4ee2-8082-36cea8558a93.jpg?ts=1745814556;https://cdn.grofers.com/da/cms-assets/cms/product/828f29f1-26d5-4c5a-a128-09b0866f414f.jpg?ts=1745814556;https://cdn.grofers.com/da/cms-assets/cms/product/1f0e7f18-dd3c-4097-b9f5-8f478ebe766d.jpg?ts=1745814557;https://cdn.grofers.com/da/cms-assets/cms/product/fb45014e-da5d-4392-a41d-877eb13fe0bb.jpg?ts=1745814557;https://cdn.grofers.com/da/cms-assets/cms/product/f23e0f20-8d08-47be-a257-b960bc8a1471.jpg?ts=1745814557;https://cdn.grofers.com/da/cms-assets/cms/product/118fe362-7c00-4a93-b742-48a585f2b1f6.jpg,9,4.023000
blinkit,Fruits,39340,565956,565956,Yu Berry Blast 100% Fruit Juice With Berry Pieces,Yu,90,66,250 ml,True,3,3,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/2a00bdaf-f5aa-4c5d-a3d9-fd86fc54b87d.jpg?ts=1745814563;https://cdn.grofers.com/da/cms-assets/cms/product/4223b557-e623-4e84-884d-254e8279de9d.jpg?ts=1745814564;https://cdn.grofers.com/da/cms-assets/cms/product/50b6c302-f2db-4946-b4d2-3cb338745049.jpg?ts=1745814564;https://cdn.grofers.com/da/cms-assets/cms/product/316beee9-6af4-4410-a064-7990f528e3bb.jpg?ts=1745814565;https://cdn.grofers.com/da/cms-assets/cms/product/34e7bf77-c186-4628-a0f0-8c3b13aaa76c.jpg?ts=1745814565;https://cdn.grofers.com/da/cms-assets/cms/product/c9f144e9-7ff5-4f3d-a365-7feaa98a62c8.jpg?ts=1745814566;https://cdn.grofers.com/da/cms-assets/cms/product/05689878-8574-416c-9872-adb7ea8fc2ea.jpg?ts=1745814566;https://cdn.grofers.com/da/cms-assets/cms/product/d4f98c52-3412-44da-80e6-49e0c929a8e9.jpg?ts=1745814567;https://cdn.grofers.com/da/cms-assets/cms/product/6613159b-8a90-49cf-bf79-633e4c8d145b.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/f5126b0b-5dba-4944-9821-dcea61dd2b78.jpg,9,3.756000
