platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Fruits,34835,504259,504259,Farmley Date Bites Dry Fruit (No Added Sugar),Farmley,400,349,200 g,True,3,3,Dates,Bites,https://cdn.grofers.com/da/cms-assets/cms/product/359f7ef2-568f-4dd7-8922-44f878310e32.png;https://cdn.grofers.com/da/cms-assets/cms/product/447b1395-c73c-49e0-858f-d7a2e3e504f6.png;https://cdn.grofers.com/da/cms-assets/cms/product/c7bd8243-697c-4a4b-b9b6-54358bb2f23a.png;https://cdn.grofers.com/da/cms-assets/cms/product/28171838-a867-4951-bc5e-4d1b1ebce43c.png;https://cdn.grofers.com/da/cms-assets/cms/product/8eb38fc5-587c-4223-ab3a-786e15251069.png;https://cdn.grofers.com/da/cms-assets/cms/product/919ecc7f-ffd9-4859-89a3-ec493201e2f1.png;https://cdn.grofers.com/da/cms-assets/cms/product/4ede68e6-6bde-4a26-88a5-78baafbee8d8.png;https://cdn.grofers.com/da/cms-assets/cms/product/16ea34b7-e511-4732-a824-e81302d42a70.png;https://cdn.grofers.com/da/cms-assets/cms/product/162e2248-aaeb-491f-8d97-650bbb85d807.png;https://cdn.grofers.com/da/cms-assets/cms/product/bdf1eb9b-2e66-43dc-8c01-28c139467103.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,1,4.758000
blinkit,Fruits,34835,184269,184269,Jamun,,65,47,(250-280) g,True,50,50,Fresh Fruits,Jamun,https://cdn.grofers.com/da/cms-assets/cms/product/a502d084-9722-497a-82f9-4996e19eab67.png;https://cdn.grofers.com/da/cms-assets/cms/product/d7df98e5-b601-4791-9e2a-acc2b72676f0.png;https://cdn.grofers.com/da/cms-assets/cms/product/ecc1b60c-7050-4fc4-a379-ef74d0c32db6.png;https://cdn.grofers.com/da/cms-assets/cms/product/60fc6bfa-ba7e-4e19-b225-3896ae515267.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,0
blinkit,Fruits,34835,424416,424416,Yellaki Banana (Yellaki Baale Hannu),,77,59,(500-550) g,True,50,50,Fresh Fruits,Banana,https://cdn.grofers.com/da/cms-assets/cms/product/163280d0-bb10-4d29-8487-64f430709b1b.png;https://cdn.grofers.com/da/cms-assets/cms/product/67607174-8918-42f1-a20a-360058fdd7d0.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,0
blinkit,Fruits,34835,294599,294599,Mini Orange (Kittale Hannu),,122,97,250 g,True,23,23,Exotics,Orange,https://cdn.grofers.com/da/cms-assets/cms/product/ce6e02e6-f98a-4a09-bf41-b1084cc674ed.png;https://cdn.grofers.com/da/cms-assets/cms/product/11044eac-9760-4f2d-9b7e-3680f530bf55.png;https://cdn.grofers.com/da/cms-assets/cms/product/2cfd85fe-2383-492c-956a-b87e29991861.png;https://cdn.grofers.com/da/cms-assets/cms/product/95764fcf-d7b0-4df6-894f-a15152206026.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,0
blinkit,Fruits,34835,491445,491445,Farmley Panchmeva Panchmeva (Dry Fruit Mishrana),Farmley,549,356,405 g,True,2,2,Dry Fruit Assortment,Panchmeva,https://cdn.grofers.com/da/cms-assets/cms/product/cf16e450-7ec9-42d7-9e04-fe8593fd92b3.png;https://cdn.grofers.com/da/cms-assets/cms/product/6d8d0056-d0d7-4335-bd7d-42313efb36ef.png;https://cdn.grofers.com/da/cms-assets/cms/product/bbec9e79-e63e-4b6b-8151-fcb6386beecb.png;https://cdn.grofers.com/da/cms-assets/cms/product/ddbffada-4457-4526-bd86-3ca765c665e6.png;https://cdn.grofers.com/da/cms-assets/cms/product/5d2309b1-4f92-4b43-b226-a2f55d275aef.png;https://cdn.grofers.com/da/cms-assets/cms/product/3ac11252-4e99-4404-bd23-a75bb62098a0.png;https://cdn.grofers.com/da/cms-assets/cms/product/3d126f56-9a8b-476a-a85d-be401f8f742f.png;https://cdn.grofers.com/da/cms-assets/cms/product/3857750e-91ad-4767-9746-47072442c93c.png;https://cdn.grofers.com/da/cms-assets/cms/product/e5d11110-1e23-4c3e-83c6-b16e02cf644d.png;https://cdn.grofers.com/da/cms-assets/cms/product/500bbf2a-e037-4687-92bb-ac4abe0db797.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,4.616000
blinkit,Fruits,34835,368933,368933,Chaunsa Mango (Maavina Hannu),,70,51,(500-700) g,True,6,6,Fresh Fruits,Mango,https://cdn.grofers.com/da/cms-assets/cms/product/109fbced-50f0-4440-af18-ca788cd6f691.png;https://cdn.grofers.com/da/cms-assets/cms/product/59a0dcf5-3785-40f1-83f7-de534db84783.jpg;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,6,0
blinkit,Fruits,34835,294780,294780,Dragon Fruit,,94,71,1 piece (300-400 g),True,6,6,Exotics,Dragon Fruit,https://cdn.grofers.com/da/cms-assets/cms/product/a285c923-5a02-459d-b4ca-51cec43ce9b6.png;https://cdn.grofers.com/da/cms-assets/cms/product/c22cfcf9-99f8-4b59-b76a-2d1981eaf6f1.png;https://cdn.grofers.com/da/cms-assets/cms/product/de05035f-24c1-451d-bf2c-578bbdd895e0.png;https://cdn.grofers.com/da/cms-assets/cms/product/8e24c773-7262-4481-a017-84433015b55e.png;https://cdn.grofers.com/da/cms-assets/cms/product/ad9de522-0608-4eaa-a7b6-22886d6d84c0.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,7,0
blinkit,Fruits,34835,184277,184277,Pomegranate Peeled (Sulida Dalimbe Hannu),,149,99,100 g,True,1,1,Freshly Cut & Sprouts,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/3169156c-c99e-4bda-91eb-b1e6243058a6.png;https://cdn.grofers.com/da/cms-assets/cms/product/21515f86-56c8-4755-899a-5bf5e236a28c.png;https://cdn.grofers.com/da/cms-assets/cms/product/e700156d-72cb-4cee-9387-64869c6e3797.png;https://cdn.grofers.com/da/cms-assets/cms/product/c6120095-91cb-4332-b895-eca05d3250bc.png;https://cdn.grofers.com/da/cms-assets/cms/product/bd60933e-654f-4cf4-baa2-e9ebec4ac506.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,0
blinkit,Fruits,34835,4005,4005,Pomegranate Peeled (Dalimbe Hannu),,235,139,200 g,True,0,0,Freshly Cut & Sprouts,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/1e13c52e-cc99-4175-ab4b-9291ce76578c.png;https://cdn.grofers.com/da/cms-assets/cms/product/ae8e2fec-073d-4463-939a-3d96dfd1a412.png;https://cdn.grofers.com/da/cms-assets/cms/product/348059ab-08eb-454e-9106-811983849319.png;https://cdn.grofers.com/da/cms-assets/cms/product/700612da-eb6f-417e-925b-5a7bb4c4b34a.png;https://cdn.grofers.com/da/cms-assets/cms/product/d2e11b74-ad9b-4b8c-9858-9049512e3ef6.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,0
blinkit,Fruits,34835,490817,490817,Farmley 8-In-1 Berries Mix,Farmley,349,270,200 g,True,3,3,Dry Fruit Assortment,Berries Mix,https://cdn.grofers.com/da/cms-assets/cms/product/6728a398-ba57-451f-b51e-ae6e14b8a8f7.png;https://cdn.grofers.com/da/cms-assets/cms/product/f198ddb9-129b-44bf-b4b6-9f2ef439a998.png;https://cdn.grofers.com/da/cms-assets/cms/product/989907ce-5800-4a7c-917d-e0005605fbcd.png;https://cdn.grofers.com/da/cms-assets/cms/product/bb022129-8e2c-43ae-b3c1-2bf8240a2b7a.png;https://cdn.grofers.com/da/cms-assets/cms/product/97546488-1152-4770-a6e7-2eaf79e495f2.png;https://cdn.grofers.com/da/cms-assets/cms/product/bfaa79c2-8d3b-43cb-a5d3-8e20edc2702e.png;https://cdn.grofers.com/da/cms-assets/cms/product/14e8ac08-7874-43b3-8b3b-6a0d95f7f40f.png;https://cdn.grofers.com/da/cms-assets/cms/product/114cf5a6-fbb5-4e88-a46d-b9c1e3e8c713.png;https://cdn.grofers.com/da/cms-assets/cms/product/96e90f23-af39-4db3-ad2f-274aef1b8b8d.png;https://cdn.grofers.com/da/cms-assets/cms/product/a0b179d7-f98f-49a1-b567-c23710e5308f.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,9,4.642000
